id,age,gender,country,latitude,longitude,traffic_source,days_since_lo,cancellations,returns,no_orders,no_items,items_per_order,total_spend,avg_order_value,income_category,children_at_home
457,65,M,Brazil,-9.945567619,-67.83560991,Search,85.0,0.0,0.0,1,1,1.0,99.98999786376952,99.98999786376952,high,0.0
64231,25,F,Brazil,-9.945567619,-67.83560991,Search,280.0,0.0,0.0,1,1,1.0,39.950000762939446,39.950000762939446,medium,0.0
72187,47,F,Brazil,-9.945567619,-67.83560991,Search,88.0,0.0,0.0,1,1,1.0,21.0,21.0,low,1.0
95069,48,M,Brazil,-9.857324143,-69.4370574,Search,645.0,1.0,1.0,1,1,1.0,39.5,39.5,low,1.0
21246,62,M,Brazil,-8.325245103,-71.55302951,Email,77.0,0.0,0.0,2,3,1.5,145.13999938964844,72.56999969482422,high,1.0
22249,66,M,Brazil,-8.325245103,-71.55302951,Search,136.0,0.0,0.0,1,1,1.0,42.0099983215332,42.0099983215332,medium,0.0
34745,32,M,Brazil,-8.325245103,-71.55302951,Search,32.0,0.0,0.0,4,6,1.5,297.4499988555908,74.3624997138977,medium,0.0
43614,20,F,Brazil,-8.325245103,-71.55302951,Search,302.0,0.0,1.0,1,1,1.0,112.5,112.5,low,0.0
50264,35,F,Brazil,-8.325245103,-71.55302951,Organic,71.0,0.0,0.0,1,1,1.0,3.5,3.5,low,1.0
76400,39,F,Brazil,-8.325245103,-71.55302951,Search,648.0,0.0,0.0,1,1,1.0,19.989999771118164,19.989999771118164,medium,0.0
84797,68,M,Brazil,-8.325245103,-71.55302951,Display,86.0,0.0,0.0,2,3,1.5,83.97000122070312,41.98500061035156,medium,0.0
87728,51,M,Brazil,-8.325245103,-71.55302951,Search,560.0,0.0,0.0,1,1,1.0,64.94999694824219,64.94999694824219,high,1.0
94811,66,F,Brazil,-8.065346116,-72.87094866,Search,313.0,0.0,0.0,1,2,2.0,130.98999977111816,130.98999977111816,high,0.0
5399,44,M,United States,31.26334993,-85.3911132,Organic,118.0,0.0,0.0,1,1,1.0,54.0,54.0,low,1.0
72320,18,F,United States,31.26334993,-85.3911132,Search,109.0,0.0,0.0,1,1,1.0,80.0,80.0,low,0.0
6581,20,M,United States,32.49711846,-85.48309708,Search,584.0,0.0,0.0,1,1,1.0,13.640000343322754,13.640000343322754,low,0.0
17497,24,F,United States,33.36698997,-86.09699412,Search,270.0,0.0,0.0,1,1,1.0,94.0,94.0,low,0.0
26264,15,F,United States,33.36698997,-86.09699412,Search,376.0,0.0,0.0,1,1,1.0,140.0,140.0,none,0.0
89699,66,F,United States,33.36698997,-86.09699412,Search,169.0,0.0,0.0,2,2,1.0,116.29999923706055,58.14999961853027,medium,0.0
95120,40,F,United States,33.36698997,-86.09699412,Organic,22.0,0.0,0.0,1,2,2.0,37.97999954223633,37.97999954223633,low,1.0
97256,27,F,United States,33.36698997,-86.09699412,Search,471.0,0.0,0.0,2,4,2.0,283.9799995422363,141.98999977111816,medium,0.0
72901,23,M,United States,32.37757019,-86.14394477,Search,373.0,0.0,0.0,1,4,4.0,139.44000053405762,139.44000053405762,low,0.0
