id,age,gender,income_category,children_at_home
457,65,M,high,0.0
36280,13,M,,0.0
60193,64,M,high,0.0
64231,25,F,medium,0.0
72187,47,F,low,1.0
22528,64,M,high,0.0
34417,28,F,medium,0.0
63352,18,M,low,0.0
71901,14,F,,0.0
88385,59,F,medium,1.0
95069,48,M,low,1.0
21246,62,M,high,1.0
22249,66,M,medium,0.0
34745,32,M,medium,0.0
43614,20,F,low,0.0
50264,35,F,low,1.0
57277,36,F,low,0.0
76400,39,F,medium,0.0
81144,21,M,low,0.0
84797,68,M,medium,0.0
87728,51,M,high,1.0
89713,67,M,low,0.0
44196,42,M,low,0.0
58559,57,M,medium,1.0
94811,66,F,high,0.0
98741,40,F,low,1.0
79669,41,F,medium,0.0
46221,54,F,medium,1.0
58687,33,F,medium,0.0
2392,59,F,high,1.0
5489,59,M,high,1.0
16664,12,M,,0.0
49363,23,M,low,0.0
87658,17,M,low,0.0
55285,51,M,medium,1.0
90798,36,F,medium,0.0
6389,31,F,medium,1.0
55802,16,F,low,0.0
66753,66,F,high,0.0
78406,68,M,low,0.0
88335,57,M,medium,1.0
94728,69,F,low,0.0
2959,55,F,high,1.0
40525,52,M,medium,1.0
1521,54,F,medium,1.0
10828,39,M,low,1.0
62726,23,F,low,0.0
88092,40,M,medium,0.0
86092,49,F,low,1.0
94941,53,M,medium,1.0
14711,47,M,low,1.0
49899,51,M,medium,1.0
23992,23,M,low,0.0
53863,69,F,high,0.0
13292,19,F,low,0.0
70430,17,F,low,0.0
50663,53,M,medium,1.0
53735,32,F,low,1.0
40338,46,F,low,1.0
80412,34,M,low,1.0
74904,50,M,low,1.0
98582,21,M,low,0.0
15419,47,F,medium,1.0
41646,23,M,low,0.0
99383,58,F,medium,1.0
54810,41,M,low,0.0
65983,67,F,high,0.0
96974,59,M,high,1.0
88208,33,M,low,0.0
14802,53,M,high,1.0
48185,65,F,high,0.0
5399,44,M,low,1.0
42412,55,F,medium,1.0
72320,18,F,low,0.0
88924,38,M,low,1.0
95819,17,M,low,0.0
75053,52,F,medium,1.0
6581,20,M,low,0.0
19990,63,M,high,0.0
45974,66,F,high,0.0
51477,55,M,medium,1.0
17497,24,F,low,0.0
26264,15,F,,0.0
89699,66,F,medium,0.0
95120,40,F,low,1.0
97256,27,F,medium,0.0
59562,54,M,medium,1.0
72901,23,M,low,0.0
5433,25,M,low,0.0
11024,62,M,high,1.0
54235,32,F,low,0.0
66852,57,M,medium,1.0
94352,16,F,low,0.0
94518,30,M,low,0.0
95157,18,M,low,0.0
28452,48,M,low,0.0
80326,41,F,low,1.0
11750,17,M,medium,0.0
42269,36,M,low,0.0
41243,16,F,low,0.0
82470,20,F,low,0.0
31662,15,F,,0.0
76630,63,M,medium,0.0
93341,61,F,high,1.0
60587,22,M,low,0.0
62405,68,M,high,0.0
91012,50,F,low,1.0
40135,29,M,low,0.0
73011,64,M,high,0.0
94320,15,M,,0.0
59995,32,M,low,1.0
97938,47,F,low,1.0
13380,34,M,low,0.0
49697,44,M,medium,0.0
61449,34,M,medium,0.0
11902,28,F,low,0.0
12203,49,F,low,0.0
31520,24,M,low,0.0
92848,38,F,low,0.0
2562,56,F,medium,1.0
90837,18,M,low,0.0
24452,41,F,low,1.0
12045,37,M,low,0.0
40303,63,F,medium,0.0
70678,60,M,high,1.0
78820,46,M,low,1.0
79078,37,F,low,1.0
86860,70,M,high,0.0
24061,55,F,high,1.0
48490,67,M,high,0.0
94664,35,M,low,0.0
3211,25,M,medium,0.0
6611,19,F,medium,0.0
6572,57,M,high,1.0
6716,40,F,medium,1.0
11531,51,M,medium,1.0
44528,39,M,low,1.0
95001,60,F,high,1.0
9159,21,F,low,0.0
82074,41,F,low,1.0
84115,17,M,low,0.0
11266,15,M,,0.0
12715,24,F,low,0.0
85880,60,M,medium,1.0
87960,63,F,high,0.0
97948,28,F,low,0.0
28570,16,M,low,0.0
56020,59,M,high,1.0
60159,49,M,low,1.0
27769,33,M,low,1.0
68136,58,M,high,1.0
72417,63,M,medium,0.0
9977,57,F,medium,1.0
88950,13,M,,0.0
97576,40,F,low,1.0
23288,58,M,high,1.0
60321,31,F,low,1.0
61431,62,M,high,1.0
70518,67,M,low,0.0
73685,60,M,high,1.0
68349,30,F,low,0.0
28620,28,M,low,0.0
85862,18,M,low,0.0
69905,21,M,low,0.0
10504,29,F,low,0.0
39652,25,M,low,0.0
65636,33,M,low,0.0
91630,45,F,medium,1.0
23395,66,M,medium,0.0
89621,33,M,low,1.0
66229,32,M,low,0.0
3468,25,M,low,0.0
12158,63,M,medium,0.0
48879,51,M,medium,1.0
62603,42,M,low,0.0
93777,58,M,high,1.0
7421,50,F,medium,1.0
27208,50,F,low,1.0
27737,17,M,low,0.0
45759,17,F,low,0.0
49728,27,F,low,1.0
54300,20,M,low,0.0
71587,32,M,low,0.0
7418,46,F,low,1.0
10044,59,M,medium,1.0
26864,56,M,medium,1.0
72957,54,M,medium,1.0
76803,21,M,low,0.0
92032,62,F,medium,1.0
92914,17,M,low,0.0
61993,49,M,low,0.0
78823,47,M,low,1.0
81231,31,M,medium,1.0
82587,27,F,low,0.0
83607,48,F,low,1.0
98931,61,F,medium,1.0
645,34,M,medium,0.0
7802,25,M,low,0.0
9179,46,F,low,1.0
30302,66,F,medium,0.0
32481,31,F,low,0.0
47874,53,F,medium,1.0
61116,49,F,medium,1.0
80444,37,M,low,1.0
91554,58,M,high,1.0
96150,41,F,low,0.0
17045,12,M,,0.0
24863,23,M,low,1.0
28242,63,F,high,0.0
63595,17,F,medium,0.0
81161,66,M,high,0.0
95909,43,M,medium,1.0
99823,63,M,high,0.0
6567,57,M,high,1.0
22001,55,F,medium,1.0
35300,22,M,low,0.0
77533,55,F,high,1.0
82716,37,F,low,0.0
91458,15,M,,0.0
1596,26,F,medium,0.0
5191,51,F,medium,1.0
35385,22,F,low,0.0
35562,17,F,low,0.0
48177,23,M,low,0.0
58435,65,M,high,0.0
66777,43,F,low,1.0
67794,36,M,low,0.0
29188,29,F,medium,0.0
66480,28,F,low,0.0
3978,70,M,high,0.0
20906,69,F,low,0.0
61919,39,M,medium,0.0
73388,34,M,medium,0.0
83264,36,M,low,1.0
88080,13,M,,0.0
94156,40,F,low,1.0
806,64,F,high,0.0
5185,28,M,low,0.0
26288,62,F,medium,1.0
41217,57,M,medium,0.0
59140,60,F,medium,1.0
62578,19,F,low,0.0
73571,42,F,medium,1.0
75745,20,M,medium,0.0
16205,46,M,low,1.0
32240,57,F,medium,1.0
61418,49,M,low,0.0
72465,54,F,medium,1.0
73085,49,F,medium,1.0
74335,29,M,medium,1.0
78976,48,F,low,1.0
80384,70,F,high,0.0
82316,30,M,medium,0.0
16751,49,M,medium,1.0
32425,23,M,low,0.0
38332,34,F,low,1.0
70121,61,F,high,1.0
76416,53,M,medium,1.0
57685,18,M,low,0.0
70989,41,M,low,1.0
76725,14,M,,0.0
96336,39,F,low,0.0
20475,54,F,medium,1.0
24695,43,F,medium,1.0
27186,55,M,medium,1.0
35568,53,M,medium,1.0
72920,59,M,medium,1.0
75924,18,F,low,0.0
97271,36,F,low,0.0
99959,61,F,high,1.0
15892,36,F,low,1.0
23223,28,F,medium,0.0
33230,68,M,low,0.0
36011,41,M,low,0.0
54666,64,F,high,0.0
56211,40,M,low,1.0
57665,59,M,high,1.0
57872,52,M,medium,1.0
76383,70,F,high,0.0
10263,42,F,low,1.0
20520,55,M,medium,1.0
26609,47,M,medium,1.0
52513,23,F,low,0.0
70893,50,F,low,1.0
74202,19,F,low,0.0
83551,60,F,medium,1.0
90673,63,M,high,0.0
96166,30,F,low,0.0
6650,13,M,,0.0
30539,70,F,medium,0.0
35587,51,F,high,1.0
46966,60,M,medium,1.0
53763,33,F,medium,1.0
83362,56,M,high,1.0
96916,50,M,low,0.0
3183,15,M,,0.0
3914,50,M,low,1.0
37860,31,M,low,0.0
41947,17,F,medium,0.0
43980,55,F,high,1.0
53058,39,M,low,0.0
54148,16,M,medium,0.0
62263,36,F,low,1.0
68048,17,M,low,0.0
68167,46,M,medium,1.0
72461,39,F,low,1.0
73084,64,F,medium,0.0
76333,24,F,medium,0.0
78548,55,M,medium,1.0
86539,27,F,low,1.0
5415,59,F,medium,1.0
37669,55,M,high,1.0
1348,65,F,medium,0.0
4370,39,F,low,0.0
20645,52,F,medium,1.0
49878,45,F,medium,1.0
33539,50,F,low,1.0
45564,49,F,medium,1.0
7108,59,M,medium,1.0
17428,25,M,medium,1.0
51250,12,F,,0.0
96713,34,M,low,1.0
15636,62,F,high,1.0
21286,16,M,low,0.0
49305,46,F,medium,1.0
17775,35,M,medium,1.0
47010,35,M,low,1.0
1844,45,F,low,0.0
6657,42,F,low,1.0
72052,52,M,high,1.0
40971,65,F,medium,0.0
46120,43,F,low,1.0
70361,43,M,medium,1.0
85829,36,F,low,0.0
95318,45,F,medium,1.0
18064,35,M,low,0.0
78690,70,F,high,0.0
3503,56,M,high,1.0
71455,41,F,low,0.0
88671,47,F,low,1.0
8744,65,M,medium,0.0
13452,51,F,high,1.0
14305,46,M,low,1.0
21911,40,M,low,0.0
30967,57,M,high,1.0
40326,23,F,medium,0.0
75017,56,F,medium,1.0
11623,53,M,medium,1.0
14223,67,M,low,0.0
31175,26,M,low,0.0
33524,39,M,low,0.0
40768,31,M,low,1.0
42905,24,M,low,0.0
75211,53,M,high,1.0
2699,60,F,medium,1.0
9221,32,M,low,1.0
11990,58,M,medium,1.0
29271,31,F,low,0.0
41248,68,F,medium,0.0
43200,15,M,,0.0
46069,18,M,medium,0.0
48030,58,F,high,1.0
53646,37,F,low,0.0
54441,47,M,low,1.0
94336,39,F,low,1.0
23377,54,M,medium,1.0
24609,48,F,low,0.0
37844,26,F,low,0.0
62036,45,M,low,1.0
89073,14,F,,0.0
5126,30,M,low,0.0
12711,26,M,low,0.0
30301,21,M,low,0.0
38252,14,F,,0.0
41700,59,F,high,1.0
42103,34,F,medium,0.0
48846,22,M,low,0.0
26054,60,F,medium,1.0
35560,59,M,medium,1.0
51231,24,F,low,0.0
59425,22,F,low,0.0
71093,15,F,,0.0
72024,50,M,medium,1.0
5645,44,M,low,1.0
20210,41,M,medium,1.0
22149,44,F,medium,1.0
30365,63,M,high,0.0
30625,53,F,high,1.0
44924,43,M,low,1.0
45444,42,F,low,0.0
47047,38,F,low,1.0
57730,15,F,,0.0
59757,61,M,high,1.0
68385,32,M,low,0.0
70060,30,F,low,0.0
70991,16,F,medium,0.0
71848,28,F,medium,0.0
77478,18,M,low,0.0
88538,32,M,low,0.0
17774,34,M,low,0.0
18953,14,F,,0.0
35515,64,F,medium,0.0
58632,39,F,medium,1.0
71818,69,M,low,0.0
12025,49,F,low,1.0
46333,48,F,low,1.0
52857,30,M,low,0.0
55261,44,M,low,1.0
69325,24,M,medium,0.0
75321,46,F,low,1.0
20683,15,F,,0.0
24230,51,F,high,1.0
34783,46,M,low,1.0
36097,68,F,high,0.0
56458,42,M,low,1.0
67478,63,F,high,0.0
68723,15,M,,0.0
84064,62,F,high,1.0
91950,57,F,high,1.0
98673,62,M,high,1.0
1378,16,M,low,0.0
3841,65,M,medium,0.0
13504,19,F,low,0.0
16365,37,M,low,1.0
27309,22,M,low,0.0
34289,19,M,low,0.0
42746,64,F,high,0.0
48585,41,M,low,1.0
69353,31,F,low,0.0
77528,19,F,medium,0.0
20752,51,F,medium,1.0
79211,63,F,high,0.0
